destination,category,subtype,notes
Shaniwar Wada,Historical,Fort,Maratha fortification with gates and heritage :contentReference[oaicite:16]{index=16}
:contentReference[oaicite:17]{index=17} :contentReference[oaicite:18]{index=18}
:contentReference[oaicite:19]{index=19} :contentReference[oaicite:20]{index=20}
:contentReference[oaicite:21]{index=21} :contentReference[oaicite:22]{index=22}
:contentReference[oaicite:23]{index=23} :contentReference[oaicite:24]{index=24}
:contentReference[oaicite:25]{index=25} :contentReference[oaicite:26]{index=26}
:contentReference[oaicite:27]{index=27} :contentReference[oaicite:28]{index=28}
:contentReference[oaicite:29]{index=29} :contentReference[oaicite:30]{index=30}
:contentReference[oaicite:31]{index=31} :contentReference[oaicite:32]{index=32}
:contentReference[oaicite:33]{index=33} :contentReference[oaicite:34]{index=34}
:contentReference[oaicite:35]{index=35} :contentReference[oaicite:36]{index=36}
:contentReference[oaicite:37]{index=37} :contentReference[oaicite:38]{index=38}
